保健品|bǎojiànpǐn|health care products
妄自菲薄|wàngzì-fěibó|IDIOM belittle oneself; be unduly humble &#19981;&#21487;&#39556;&#20658;&#33258;&#28385;, &#20063;&#19981;&#21487;&#22916;&#33258;&#33778;&#34180;&#12290; B&#249;k&#283; ji&#257;o'&#224;oz&#236;m&#46
外派|wàipài|VERB send to another place; assign to another task
买帐|mǎizhàng|VERB [usu. in the negative] acknowledge the superiority or seniority of; show respect for &#20320;&#25670;&#26550;&#23376;, &#20154;&#23478;&#23601;&#19981;&#20080;&#20320;&#30340;&#36134;&#12290; n&#
实操|shícāo|1&#9;to actually do (sth) (as opposed to learning how to do it from books etc) 2&#9;practice (as opposed to theory) (abbr. for sh&#237;j&#236;c&#257;ozu&#242; [&#23454;&#38469;&#25805;&#20316;])
老本|lǎoběn|NOUN 1&#9;principal; capital &#20111;&#20102;&#32769;&#26412; ku&#299; le l&#462;ob&#283;n lose money in business; lose one&#8217;s capital &#25438;&#22238;&#32769;&#26412; l&#257;o hu&#237; l&#462;ob
负荷|fùhè|NOUN load (that a person or machine is expected to perform); work load &#36229;&#36127;&#33655; ch&#257;of&#249;h&#232; overload &#28385;&#36127;&#33655; m&#462;n f&#249;h&#232; full-load VERB LITERAR
肌酸|jīsuān|creatine
心累|xīnlèi|emotionally exhausted; drained
凄风苦雨|qīfēng-kǔyǔ|IDIOM 1&#9;wailing wind and weeping rain &#20932;&#39118;&#33510;&#38632;, &#22812;&#19981;&#33021;&#30496;&#12290; Q&#299; f&#275;ng k&#468;y&#468;, y&#232; b&#249; n&#233;ng mi&#225;n. With the wind
演播|yǎnbō|VERB telecast; broadcast (a play, performance, etc.)
火把|huǒbǎ|NOUN torch
活板|huóbǎn|trapdoor
平行宇宙|píngxíngyǔzhòu|parallel universe
激荡|jīdàng|VERB agitate; surge; rage &#28023;&#27700;&#28608;&#33633;&#12290; H&#462;ishu&#464; j&#299;d&#224;ng. The sea surged. &#20182;&#30340;&#21628;&#21796;&#22312;&#23665;&#35895;&#37324;&#28608;&#33633;&
军阀|jūnfá|NOUN warlord
热乎|rèhu|ADJECTIVE COLLOQUIAL 1&#9;nice and warm; warm &#39277;&#33756;&#36824;&#28909;&#21644;&#12290; F&#224;n-c&#224;i h&#225;i r&#232; huo. The food is still warm. 2&#9;warm and friendly; pally; chummy; th
反话|fǎnhuà|NOUN ironic remark; irony &#22905;&#22312;&#35828;&#21453;&#35805;&#21602;&#12290; T&#257; z&#224;i shu&#333; f&#462;nhu&#224; ne. She is talking ironically.
棒棒哒|bàngbàngdā|1&#9;(Internet slang) awesome 2&#9;amazing
花天酒地|huātiān-jiǔdì|IDIOM indulge in dissipation; lead a life of debauchery
望尘莫及|wàngchén-mòjí|IDIOM so far behind that one can only see the dust of the rider ahead&#8212;too far behind to catch up; too inferior to bear comparison; be out of one's league
脱欧|tuō'Ōu|1&#9;to withdraw from the European Union 2&#9;abbr. for &#33073;&#31163;&#27431;&#30431;
英伦|Yīnglún|NOUN DATED England; Britain &#33521;&#20262;&#35832;&#23707; Y&#299;ngl&#250;n zh&#363; d&#462;o the British Isles
变味|biàn//wèi|VERB 1&#9;(of food) go bad; go off &#21464;&#20102;&#21619;&#20799;&#30340;&#39135;&#21697;&#19981;&#33021;&#21507;&#12290; bi&#224;nle w&#232;ir de sh&#237;p&#464;n b&#249;n&#233;ng ch&#299;. Food th
顶替|dǐngtì|VERB 1&#9;take sb.'s place; replace &#20182;&#36208;&#20102;&#35841;&#26469;&#39030;&#26367;&#65311; t&#257; z&#466;u le shu&#237; l&#225;i d&#464;ngt&#236;? Who&#8217;s going to take his place after 
卧推|wòtuī|bench press
微软|Wēiruǎn|Microsoft Corporation
