磁极|cíjí|NOUN magnetic pole
转瞬即逝|zhuǎnshùnjíshì|(idiom) fleeting; transitory
大器|dàqì|NOUN 1&#9;DATED treasure 2&#9;FIGURATIVE man of great talent &#36825;&#23401;&#23376;&#33021;&#25104;&#22823;&#22120;&#12290; Zh&#232; h&#225;izi n&#233;ng ch&#233;ng d&#224;q&#236;. This child will g
适中|shìzhōng|ADJECTIVE 1&#9;moderate &#22823;&#23567;&#36866;&#20013; d&#224;xi&#462;o sh&#236;zh&#333;ng moderate size &#38632;&#37327;&#36866;&#20013; Y&#468;li&#224;ng sh&#236;zh&#333;ng moderate rainfall 2&#9;
琴师|qínshī|NOUN stringed instrumentalist, esp. a jinghu (&#20140;&#32993;) player, who acts as accompanist in traditional opera
琴弦|qínxián|NOUN string (of a musical instrument)
挑拨离间|tiǎobō-líjiàn|IDIOM sow discord; foment dissension; incite one against the other; drive a wedge between &#25361;&#25320;&#31163;&#38388;, &#20852;&#39118;&#20316;&#28010; ti&#462;ob&#333;l&#237;ji&#224;n, x&#299;ng
闯入|chuǎngrù|1&#9;to intrude 2&#9;to charge in 3&#9;to gate-crash
彻查|chèchá|VERB make a thorough investigation (of a case)
遗漏|yílòu|VERB omit; leave out &#37325;&#35201;&#36951;&#28431; Zh&#242;ngy&#224;o y&#237;l&#242;u important omission &#21517;&#21333;&#19978;&#26377;&#36951;&#28431;&#12290; M&#237;ngd&#257;n sh&#224;ng y&#466
经纪人|jīngjìrén|NOUN broker; middleman; agent &#22806;&#27719;&#32463;&#32426;&#20154; w&#224;ihu&#236; j&#299;ngj&#236;r&#233;n foreign exchange broker &#25151;&#22320;&#20135;&#32463;&#32426;&#20154; f&#225;ngd&#23
攻讦|gōngjié|VERB LITERARY rake up sb.'s past and attack him; expose sb.'s past misdeeds
如沐春风|rúmùchūnfēng|&#22909;&#20687;&#27792;&#28020;&#22312;&#26149;&#39080;&#20013;&#19968;&#33324;&#33298;&#26274;&#12290;&#27604;&#21947;&#21463;&#21040;&#23416;&#39178;&#28145;&#21402;&#12289;&#21697;&#24503;&#39640;
酩酊大醉|mǐngdǐng-dàzuì|IDIOM dead drunk; blind drunk
根基|gēnjī|NOUN 1&#9;foundation; basis; groundwork &#26681;&#22522;&#29282;&#22266; g&#275;nj&#299; l&#225;og&#249; firm foundation &#25171;&#22909;&#26681;&#22522; d&#462; h&#462;o g&#275;nj&#299; lay a solid f
缓存|huǎncún|NOUN COMPUTING cache memory
几斤几两|jǐjīnjǐliǎng|&#22810;&#23569;&#20998;&#37327;, &#22810;&#25351;&#33021;&#21147;&#32780;&#35328;&#12290;&#22914;&#65306;&#12300;&#20570;&#20107;&#20043;&#21069;, &#25033;&#35442;&#20808;&#25474;&#25474;&#33258;&#24
陶俑|táoyǒng|NOUN ARCHAEOLOGY pottery figurine
羡煞|xiànshà|&#26997;&#28858;&#32680;&#24917;&#12290;&#22914;&#65306;&#12300;&#30475;&#20182;&#29554;&#29518;, &#30495;&#26159;&#32680;&#29022;&#20154;&#20102;&#65281;&#12301;&#25110;&#20316;&#12300;&#32680;&#2757
气馁|qìněi|ADJECTIVE become dejected; be discouraged; lose heart &#20182;&#22810;&#27425;&#36935;&#21040;&#25387;&#25240;, &#20294;&#20174;&#19981;&#27668;&#39297;&#12290; T&#257; du&#333;c&#236; y&#249;d&#224;o
价值不菲|jiàzhíbùfěi|&#35486;&#21477; &#24418;&#23481;&#29289;&#21697;&#22909;&#26114;&#36020; priceless; of great value; invaluable &#25925;&#23470;&#21338;&#29289;&#39208;&#35023;&#38754;&#22021;&#23637;&#21697;, &#2021
排异|páiyì|&#8226; Absto&#223;ung (f) (S) (Medizin)
施放|shīfàng|VERB discharge; fire &#26045;&#25918;&#28895;&#24149; sh&#299;f&#224;ng y&#257;nm&#249; lay a smokescreen &#26045;&#25918;&#20652;&#27882;&#24377; sh&#299;f&#224;ng cu&#299;l&#232;id&#224;n fire tear-
不懈|bùxiè|ADJECTIVE untiring; unremitting; indefatigable &#20316;&#19981;&#25032;&#30340;&#21162;&#21147; zu&#242; b&#249;xi&#232; de n&#468;l&#236; make unremitting efforts; make a sustained effort
初生牛犊不怕虎|chūshēngniúdúbùpàhǔ|WELL-KNOWN PHRASE Newborn calves are not afraid of tigers.&#8212;Young people are fearless.
一劳永逸|yīláo-yǒngyì|IDIOM gain lasting repose by one supreme effort&#8212;settle a matter once and for all &#19968;&#21171;&#27704;&#36920;&#30340;&#35299;&#20915;&#21150;&#27861; y&#299;l&#225;oy&#466;ngy&#236; de ji&#2
赔付|péifù|VERB pay as compensation
老龄|lǎolíng|NOUN old age; ageing &#32769;&#40836;&#27963;&#21160;&#31449; l&#462;ol&#237;ng hu&#243;d&#242;ng zh&#224;n senior citizens&#8217; activities centre
加农|jiānóng|(loanword) cannon
知遇之恩|zhīyùzhī'ēn|a debt of gratitude for sb.&#8217;s recognition and appreciation
紊乱|wěnluàn|ADJECTIVE disorderly; chaotic; confused &#31209;&#24207;&#32010;&#20081; Zh&#236;x&#249; w&#283;nlu&#224;n in a state of chaos &#26032;&#38472;&#20195;&#35874;&#21151;&#33021;&#32010;&#20081; x&#299;n
绞碎|jiǎosuì|R.V. mince
解明|jiěmíng|NOUN unriddle
崩毁|bēnghuǐ|to collapse; to cave in
驾轻就熟|→jiàqīng-jiùshóu|&#12304;&#33274;&#25340;&#12305;ji&#224;q&#299;ng-ji&#249;sh&#243;u &#12304;&#38520;&#25340;&#12305;ji&#224;q&#299;ng-ji&#249;sh&#250; &#39381;&#33879;&#36629;&#20415;&#30340;&#36554;&#36208;&#29087;&
贪求|tānqiú|VERB seek; hanker after; covet
昏厥|hūnjué|VERB LITERARY faint; swoon &#26127;&#21413;&#36807;&#21435; H&#363;nju&#233; gu&#242;qu fall into a coma; faint away
染病|rǎn//bìng|VERB LITERARY catch (or contract) an illness; be infected with a disease; fall ill
歇业|xiē//yè|VERB close a business; go out of business
翻找|fānzhǎo|V. rummage through
退潮|tuìcháo|VERB (-//-) (of the tide) ebb; recede &#27491;&#22312;&#36864;&#28526;&#12290; zh&#232;ngz&#224;i tu&#236;ch&#225;o The tide is on the ebb. NOUN ebb tide
解乏|jiě//fá|VERB 1&#9;recover from fatigue &#20182;&#24471;&#22909;&#22909;&#30561;&#19968;&#35273;, &#25165;&#33021;&#35299;&#20047;&#12290; T&#257; d&#283;i h&#462;oh&#257;o shu&#236; y&#299; ji&#224;o, c&#225;
防护|fánghù|VERB protect; shelter &#20154;&#20307;&#38450;&#25252; r&#233;nt&#464; f&#225;ngh&#249; physical protection
遮瑕|zhēxiá|&#21205;&#35422; &#36974;&#33995;&#29781;&#30133; to cover up flaws &#36974;&#29781;&#33167; ze1 haa4 gou1 concealer &#25104;&#38754;&#37117;&#20418;&#26263;&#30241;, &#25105;&#21780;&#36974;&#29781;&
惊惧|jīngjù|ADJECTIVE alarmed; frightened &#31070;&#24773;&#24778;&#24807; sh&#233;nq&#237;ng j&#299;ngj&#249; frightened look on one&#8217;s face; look shocked
回笼|huí//lóng|VERB 1&#9;steam again; reheat &#25226;&#20937;&#39314;&#22836;&#22238;&#22238;&#31548;&#12290; B&#462; li&#225;ng m&#225;ntou hu&#237;hu&#237;l&#243;ng. Heat up the cold steamed buns. 2&#9;withdraw (c
送达|sòngdá|VERB 1&#9;hand over; deliver &#36135;&#21697;&#22312;&#19968;&#21608;&#20869;&#36865;&#36798;&#12290; hu&#242;p&#464;n z&#224;i y&#299; zh&#333;un&#232;i s&#242;ngd&#225;. Goods will be delivered with
教学相长|jiàoxué-xiāngzhǎng|IDIOM teaching benefits teacher and student alike; teaching benefits teachers as well as students; to teach is to learn
地标|dìbiāo|NOUN landmark
小恩小惠|xiǎo'ēn-xiǎohuì|IDIOM little or small favours; petty favours
挈领|qièlǐng|V.O. present the main points; make a summary/synopsis
沉醉|chénzuì|VERB ORIGINAL MEANING MET get drunk LIT become intoxicated &#27785;&#37257;&#22312;&#33410;&#26085;&#30340;&#27426;&#20048;&#37324; Ch&#233;nzu&#236; z&#224;i ji&#233;r&#236; de hu&#257;nl&#232; l&#46
脚跟|jiǎogēn|NOUN heel &#31449;&#31283;&#33050;&#36319; zh&#224;nw&#283;n ji&#462;og&#275;n stand firm; gain a firm foothold
见惯|jiànguàn|R.V. be accustomed to seeing sth. &#36825;&#31181;&#20107;&#24773;&#25105;&#35265;&#24815;&#20102;&#12290; Zh&#232; zh&#466;ng sh&#236;qing w&#466; ji&#224;ngu&#224;n le. I'm used to seeing these thin
埋点|máidiǎn|1&#9;(web analytics) event tracking 2&#9;event
港普|Gǎngpǔ|Hong Kong pidgin (a mix of Standard Mandarin and Cantonese)
