打发时间|dǎfāshíjiān|to pass the time
困倦|kùnjuàn|ADJECTIVEtired and sleepy&#26152;&#26202;&#27809;&#30561;&#22909;, &#36825;&#20250;&#20799;&#22256;&#20518;&#24471;&#24456;&#12290;zu&#243;w&#462;n m&#233;i shu&#236;h&#462;o, zh&#232;hu&#236;rk&#249;
愣神儿|lèng//shénr|VERBDIALECTstare blankly; be in a daze&#20182;&#31449;&#22312;&#19968;&#26049;&#24867;&#31070;&#20799;, &#19981;&#30693;&#36947;&#24819;&#20123;&#20160;&#20040;&#12290;T&#257; zh&#224;n z&#224;i y&#29
涝灾|làozāi|NOUNdamage (or crop failure, calamity) caused by waterlogging
祖籍|zǔjí|NOUNoriginal family home; ancestral home; the land of one's ancestors&#31062;&#31821;&#26477;&#24030;z&#468;j&#237; H&#225;ngzh&#333;ube a native of Hangzhou
脚掌|jiǎozhǎng|NOUNsole (of the foot)
妙用|miàoyòng|NOUNmagical effect&#23567;&#23567;&#38134;&#38024;, &#22823;&#26377;&#22937;&#29992;&#12290;Xi&#462;oxi&#462;o y&#237;nzh&#275;n, d&#224; y&#466;u mi&#224;o y&#242;ng.A tiny acupuncture needle can wor
珠帘|zhūlián|NOUNscreen or curtain decorated with pearls; bead curtain
耳垂|ěrchuí|NOUNANATOMYearlobe; ear flap; auricular lobule
绝代佳人|juédàijiārén|woman of matchless beauty; great beauty
波折|bōzhé|NOUN twists and turns &#20107;&#24773;&#21457;&#29983;&#20102;&#27874;&#25240;&#12290; Sh&#236;qing f&#257;sh&#275;ng le b&#333;zh&#233;. Events took an unexpected turn.
画卷|huàjuàn|NOUN 1&#9;picture scroll 2&#9;magnificent scenery or stirring battle scene
蓝图|lántú|NOUN 1&#9;blueprint &#34013;&#22270;&#32440; l&#225;nt&#250; zh&#464; blueprinting paper 2&#9;FIGURATIVE plan; scheme &#32472;&#21046;&#34013;&#22270; Hu&#236;zh&#236; l&#225;nt&#250; design a bluepri
天价|tiānjià|NOUN price as high as heaven; extremely high price &#22825;&#20215;&#21830;&#21697; ti&#257;nji&#224; sh&#257;ngp&#464;n very expensive goods
服药|fú//yào|VERB take medicine
执勤|zhíqín|VERB be on duty &#25191;&#21220;&#22763;&#20853; zh&#237;q&#237;n sh&#236;b&#299;ng soldiers on duty &#36718;&#29677;&#25191;&#21220; l&#250;nb&#257;n zh&#237;q&#237;n take turns having the duty
使眼色|shǐ//yǎnse|VERB tip sb. the wink; wink at sb.; meaningful glance
白送|báisòng|give away free (of charge)
隐形|yǐnxíng|ADJECTIVE invisible; hidden
呢绒|níróng|NOUN woollen goods; wool fabric
伐木|fámù|VERB lumber; fell; cut down trees
营火|yínghuǒ|NOUN campfire
沙丁鱼|shādīngyú|NOUN ICHTHYOLOGY sardine; sardelle &#27801;&#19969;&#40060;&#23646; sh&#257;d&#299;ngy&#250; sh&#468; sardina &#27801;&#19969;&#40060;&#27833; sh&#257;d&#299;ngy&#250; y&#243;u sardine oil; pilohard o
合眼|hé//yǎn|VERB 1&#9;close one's eyes; sleep &#20182;&#26152;&#26202;&#19968;&#22812;&#27809;&#21512;&#30524;&#12290; T&#257; zu&#243;w&#462;n y&#299; y&#232; m&#233;i h&#233;y&#462;n. He didn&#8217;t get a wink
靶心|bǎxīn|NOUN centre of a target; bull's-eye &#37027;&#19968;&#31661;&#27491;&#20013;&#38774;&#24515;&#12290; n&#224; y&#299; ji&#224;n zh&#232;ngzh&#242;ng b&#462;x&#299;n. The archer&#8217;s shot was a bull&
