細目|ほそめ|Detail / Particular
学才|がくさい|Scholastic / Academic talent
目をつぶってください。|めをつぶってください|Close your eyes.
武功|たけ いさお|military exploits
必ず行くと言った手前、休むわけにはいかない。|かならず いくと いった てまえ やすむわけにはいかない|I cant afford not to go since I already have told them that I would go&nbsp;
頻発する|ひんぱつする|Recurrent
健康は富に勝ることは言うまでもない。|けんこうは とみに まさることは いうまでもない|It goes without saying that health is more important than wealth
書類の余白に補足説明を加える|しょるいの よはくに ほそくせつめいを くわえる|Add supplementary explanation to documents white margin
いいにつけ悪いにつけ、子は親に似る|いいにつけ わるいにつけ こは おやに にる|Children learn good and bad things from their parents
その暴動は難なく抑圧された。|その ぼうどうは なんなく よくあつされた|The riot was suppressed without difficulty
索引|さくいん|Index
彼は研究に打ち込んでいます。|かれは けんきゅうに ちうちこんでいます|He is dedicated to his research.
彼は非常識な時間に電話してきたの。|かれは ひじょうしきな じかんに でんわしてきたの|He called me at an unreasonable hour.
逃げ足|げにげあし|Escaping / Running away on foot
肝臓と腎臓はどちらも大切な器官です|かんぞうと じんぞうはどちらも たいせつな きかんです|Both the liver and kidney are important organs
彼は石頭だから言っても無駄です|かれは いしあたまだから いっても むだです|It is a waste of time telling him as he is stubborn
観察眼|かんさつがん|observing eye
わたしは助けるだけは助けてやったのだ|わたしは たすけるだけは たすけてやったのだ|I did all I could to help
連打|れんだ|Consecutive hits
身分証明書|みぶんしょうめいしょ|Indentification papers
信頼|しんらい|Another word for trust
難点|なんてん|Weakness / Difficult point
今日は寄り道してから帰ります。|きょうは りよりみちしてから かえります|I'll take a side trip on the way home today.
主要 （な）|しゅような|Main / Principle
弟は落ち着きが足りません。|おとうとは ちおちつきが たりません|My little brother is too restless.
生き生き|きいきいき|Lively / Fresh / Vivid
進撃|しんげき|advance; charge
彼女からは依然として連絡がない|かのじょからは いぜんとして れんらくがない|There is still no contact from her (as before)
毛髪移植|もうはついしょく|hair transplant
国民|こくみん|Citizen / Nation
快適|かいてき|Comfortable / Cosy
今はほとんどのトイレが水洗ですよ。|いまはほとんどのが すいせんですよ|Most toilets nowadays flush.
名高い|なだかい|Famous / Celebrated / Well-known
程遠い|ほどとおい|Far away / Far off (reaching CL places..)
お前は酪農家のように戦うんだ！|お まえは らくのうかのように たたかうんだ|You fight like a dairy farmer!
民法|みんぽう|Civil law
雲は水滴が集まってできる|くもは すいてきが あつまってできる|Clouds are formed by accumulation of water vapour
｢もうダメだ｣とばかりに|もうだとばかりに|as if saying 'it's no use'
このデパートは曜日にかかわらずいつも込んでいる|このは ようびにかかわらずいつも こんでいる|That department store regardless which day it is, is always busy
母は体を壊してまでも、朝から晩まで働き続けた|ははは からだを こわしてまでも あさから ばんまで はたらき つづけた|My mother worked day and night and sacrificed her health
持久〜　(戦、走、力）|じきゅう せん はし ちから|War of attrition&nbsp;&nbsp;/ long distance running / staying power
消防|しょうぼう|Fire prevention
あのおいしくざるご飯はいったい誰が食べられるか？|あのおいしくざるご はんはいったい だれが たべられるか|Who could eat that tasteless meal?
ぴったり|ぴったり|Close fitting (clothes)
今に至ってはもう何もできません。|いまに いたってはもう なにもできません|I cant do anything at this late stage (今の状況になってしまったら)
風車|かざぐるま|Windmill
辞書|じしょ|Dictionary
その美しさを言葉では描写できない。|その うつくしさを ことばでは びょうしゃできない|Words cannot describe the beauty
非常食|ひじょうしょく|emergency rations
彼女は車椅子に乗っています。|かのじょは くるまいすに のっています|She uses a wheelchair.
世界遺産|せかいいさん|World heritage site
彼は若いのにしっかりしてるね。|かれは わかいのにしっかりしてるね|He is reliable even though he is young.
人間国宝|にんげんこくほう|living national treasure
小雨|こさめ|Light / Drizzling rain
そういう事故は時折起こり得る事だ。|そういう じこは ときおり おこり える ことだ|Such accidents can happen from time to time. （得る）
彼は晩年を故郷で過ごしたんだ。|かれは ばんねんを こきょうで すごしたんだ|He spent his later years in his hometown.
在宅勤務|ざいたくきんむ|Working from home
段階|だんかい|Grade / Stage / Phase
マニア||Enthusiast / Maniac
飛び起きる|びとびおきる|To jump up to ones feet
有無|うむ|Existance or non existance
林業|りんぎょう|Forestry
デモは、１０年間にわたって行われた。|は ねんかんにわたって おこなわれた|Demonstrations occurred for a period of 10 years.
率直なご意見ありがとうございました。|そっちょくなご いけんありがとうございました|Thank you for your straightforward opinion.
貴人|きじん|aristocrat, nobleman, dignitary, person of high rank
鋭利な論鋒|えいりな ろんぽう|an incisive argument
発芽|はつが|To bud / To sprout / To germinate
彼は私の弱みを握っているんだ。|かれは わたしの よわみを にぎっているんだ|He's got dirt on me.
巨躯|きょく|big frame
彼女の家は丘の中腹にある|かのじょの いえは おかの ちゅうふくにある|Her house is on the side of a hill
目を放さない|めを はなさない|To keep an eye on
沈む|しずむ|to sink, set
突き返す|きつきかえす|to deal a blow in return; to hit back; to punch backto reject; to send back
彼女の誕生日パーティーを密かに計画しています。|かのじょの たんじょうびぱーてぃを ひそかに けいかくしています|We're secretly planning a birthday party for her.
彼女はスペイン語に取り組んでいます。|かのじょは すぺいんごに りとりくんでいます|She's working on her Spanish.
土地が肥えると野菜が大きく育つ|とちが こえると やさいが おおきく そだつ|The vegetables grow big when the land is fertile
豊満な体つき|ほうまんな からだつき|a full figure
接着剤|せっちゃくざい|Adhesive / Glue
橋|はし|Bridge
げらげら|げらげら|Out loud
彼は医者であるが、小説家としても有名である|かれは いしゃであるが しょうせつかとしても ゆうめいである|Though he is a doctor, hes also famous as a novelist
目元|めもと|eyes; expression of the eyes; (2) (orig.meaning) area around the eyes; skin roun
武器|ぶき|Weapon / Arm
〜冊|さつ|Counter for volumes
向く|むく|To turn
怯える|おびえる|To become frightened / To be scared of
不変|ふへん|Eternal / Unchanging
自画像|じがぞう|Self portrait
取って代わる|とって かわる|to supplant; to supersede; to replace; to take the place of
近代|きんだい|Modern Times
彼は急に立ち上がったの|かれは きゅうに ちたちあがったの|He suddenly stood up.
週刊誌|しゅうかんし|Weekly publication
追っ掛ける|っおっかける|To chase / To run after / To pursue
一夫多妻|いっぷたさい|Polygamy
ユーモアは場の雰囲気を和らげるわね。|は ばの ふんいきを やわらげるわね|Humor can soften the mood.
細い|ほそい|Thin
分野|ぶんや|Field / Domain (field of education....)
お客様の要望を聞かせてください。|お きゃくさまの ようぼうを きかせてください|What would you like to request? (iknow)
創り出す|りつくりだす|To manufacture / To produce / To invent (Sephiroth!)
彼が全面的に協力してくれるそうです。|かれが ぜんめんてきに きょうりょくしてくれるそうです|I hear that he'll cooperate completely.
犯罪歴|はんざいれき|criminal record
牛乳は品切れだったよ。|ぎゅうにゅうは しなぎれだったよ|Milk was sold out.
反射|はんしゃ|Another word for reflection (iknow)
小切手|こぎって|Cheque&nbsp;
放電|ほうでん|Electrical discharge
君はどのぐらいの背丈ですか。|きみはどのぐらいの せたけですか|How tall are you?
見習う|みならう|To learn / follow someones example
洒落込む|しゃれ こむ|To get dressed up
転属|てんぞく|changing assignments
批判する|ひはんする|To criticise
用紙を補充しなければならない。|ようしを ほじゅうしなければならない|We must have a new supply of forms
東京の町は、どこへ行っても人で込んでいる|とうきょうの まちはどこへ いっても ひとで こんでいる|Tokyo is crowded with people no matter where you go
膨らみ|ふくらみ|Swell / bulge (say, in a bed!)
その理論は物理学に新時代を画した|その りろんは ぶつりがくに しんじだいを かくした|The theory made / marked a new era in physics
彼女は本国に帰りました|かのじょは ほんごくに かえりました|She returned to her native land.
彼は幾日も海を眺めて過ごした|かれは いくにちも うみを ながめて すごした|He spent many days staring at the sea
まんざら捨てたものでもない|まんざら すてたものでもない|It is not altogether bad
封印|ふういん|Seal (also like a magical seal, I guess..)
千秋は良いやつでも何ともない。|せんしゅうは よいやつでも なんともない|Chiaki is not a good person at all.
本職|ほんしょく|Main job
禁句|きんく|Taboo Word
引き算|きひきざん|ある数から他の数を引く(Subtraction)
肉食系|にくしょくけい|man's man; man aggressively pursuing sex and riches; carnivore
砲火|ほうか|gunfire; fire
適性検査|てきせいけんさ|Aptitude Test
握手する|あくしゅする|To shake hands / handshake
暗視|あんし|Night vision
