短刀|たんとう|Short sword / Dagger
芝刈り機が簡素な作りの荷車に積んである。|りしばかりきが かんそな つくりの にぐるまに つんである|Some lawn equipment is loaded into the jerry-built cart
在留|ざいりゅう|Residence / Stay
流用|りゅうよう|Misappropriation (of funds)
ほら話|ほら ばなし|tall story; tall tale; cock-and-bull story
近況|きんきょう|Recent state
逼迫|ひっぱく|Impending / Stringency (financial) / Tight / Hard
喘ぐ|あえぐ|To gasp / To breathe hard
修道士|しゅうどうし|Monk / Friar
悪行税|あくぎょう ぜい|sin tax (excise, etc. on certain goods deemed harmful to society and individuals
縮小|しゅくしょう|Reduction / Cut / Curtailment (not 削減)
姪|めい|Niece
執事|しつじ|Butler
懲罰委員会|ちょうばついいんかい|Disciplinary Committee
しょんぼり|しょんぼり|Being downhearted
鍛錬|たんれん|Training / Disciplining / Hardening / Tempering / Forging
地平線|ちへいせん|horizon (related to land)
嫌味を言う|いやみを いう|to make snide remarks, to put into bad mood
満たない|みたない|Less than / fraction of / below (ie, less than 10% of books)
目付き|めつき|Look / Eye
車で陸橋を渡った|くるまで りっきょうを わたった|We crossed the viaduct by car&nbsp;
処遇|しょぐう|Treatment / Dealing with
支那|しな|Derogatory name for China
基部|きぶ|base, foundation
共感 （する）|きょうかんする|To Sympathise
生物工学|せいぶつこうがく|Biotechnology
投影|とうえい|Projection
尾翼|びよく|Tail plane (back part of my plane!)
～としたところで and ～としたって|としたところで としたって|Both mean "even if" / ようとしても
結う|ゆう|To do up / Dress
版画|はんが|Engraving
手本|てほん|Sample (of something)
改革|かいかく|Reform / Crusade (think, reforming a business)
雇用が停滞し続けた。|こようが ていたいし つづけた|Employment continued to lag
人権擁護|じんけんようご|Protection of human rights
瞬殺|しゅんさつ|1. defeating in an instant2. instant kill
発奮する|はっぷんする|To be inspired
不用意|ふようい|Unpreparedness / Carelessness
緩慢|かんまん|Slow / Sluggish
一体化|いったいか|Unification / Integration
懇親会|こんしんかい|Friendly reunion / Get-together
庭に花の種をまきました。|にわに はなの たねをまきました|I planted some flower seeds in the garden.
山地|さんち|Mountain district / highlands
店員が出て来ないので客はしびれを切らして出て行った|てんいんが でて こないので きゃくはしびれを きらして でて いった|As no clerk appeared, the customer lost patience and left the shop
あやふや|あやふや|Uncertain / Vague / Ambiguous
曲者|くせもの|Ruffian / Villain / Thief / Suspcious fellow
