鈍痛|どんつう|dull pain
割合に|わりあいに|relatively, rather
自作|じさく|Ones own work
最重要|さいじゅうよう|Most important
伸ばす|のばす|To stretch (verb)
全員、講堂に集まってください。|ぜんいん こうどうに あつまってください|Everyone, please come to the auditorium.
低水準|ていすいじゅん|Substandard / Low level
不眠症もさることながら，心配事も多過ぎて眠れない。|ふみんしょうもさることながら しんぱいごとも おお すぎて ねむれない|While I do have insomnia, I also have a lot of things on my mind and so can't sl
時機|じき|Opportunity / Chance
料亭|りょうてい|ryotei, traditional Japanese restaurant (esp. a luxurious one)
指令|しれい|Order / Directive
山脈|さんみゃく|Mountain range
風貌|ふうぼう|looks; appearance
包帯|ほうたい|Bandage / bind
無能|むのう|incompetent
打倒|だとう|Knockdown (eg in boxing) / overthrow / defeat
彼女は快い眠りについています。|かのじょは こころよい ねむりについています|She is sleeping soundly.
股|また|crotch, groin
特定|とくてい|specific, particular
雑魚|じゃこ|Small fish / small fry (insult)
彼女はい週間前から床についている|かのじょはい しゅうかん まえから ゆかについている|She has been in bed for a week
この村には田畑がたくさんあります。|この むらには たはたがたくさんあります|There are a lot of fields in this village.
招き猫|まねき ねこ|beckoning cat, figure of a cat with one paw raised (usu. white porcelain)
山口県|やまぐちけん|Yamaguchi-ken
急務|きゅうむ|Urgent business
案|あん|Plan / Proposal
国土|こくど|Country / Territory
彼はあの歌手の熱烈なファンです|かれはあの かしゅの ねつれつなです|He is a keen fan of that singer
試す|ためす|To test / try out
愚か者|かおろかもの|Fool
彼の今月の業績は素晴らしいです。|かれの こんげつの ぎょうせきは すばらしいです|His performance this month was amazing.
夏といえば何を連想しますか。|なつといえば なにを れんそうしますか|What do you associate with summer?
尿にうみのようなものが出ます。|にょうにうみのようなものが でます|Something like pus comes out when I pass urine
真理|しんり|Another word for truth from iknow
きらりと|きらりと|Sparkle (not キラキラ)
久々|ひさびさ|In a long time / long while
体罰|たいばつ|Corporal Punishment / Physical Punishment
大事故に遭ったのに、打撲だけで済んだ。|だいじこに あったのに だぼくだけで すんだ|Despite being a big accident, i got away with only bruises
この恩知らずめ！もう一度言ってみろ|この おんしらずめもう いちど いってみろ|You ungrateful git! Just try and say that again!
来日|らいにち|visit to Japan
