孤児院|こじいん|Orphanage
清涼飲料|せいりょういんりょう|Cool drink
連射|れんしゃ|Rapid fire
いい子ぶる|いい こぶる|to act the goody-goody; to pretend to be nice
たいてい|たいてい|Usually / Generally
粉|こな|Powder (single reading)
放り込む|りほうりこむ|To throw into / To toss into
卒論|そつろん|Graduation thesis
日頃の行い|ひごろの おこない|Ones habitual behaviour
紐付きの|ひもつきの|Conditions / Strings attached / Restrictions
チョコレートを無性に食べたい|を むしょうに たべたい|I want to eat chocolate very much
貿易協定|ぼうえき きょうてい|trade agreement
落下傘|らっかさん|parachute
偵察|ていさつ|Reconnaissance
受給者|じゅきゅうしゃ|Receipts of payments / pensioner
鉄格子|てつごうし|Lattice or bars / Iron grill / the big iron gate!
沿道の人たち|えんどうの ひとたち|Roadside people
副反応|ふく はんのう|1. side effect (from a vaccine)2. side reaction
盗賊|とうぞく|Thief / Robber (SF3)
盗み聞き|みぬすみぎき|Eavesdropping
救世主|きゅうせいしゅ|Savior / Messiah
チームを従えて監督が入場してきた|を したがえて かんとくが にゅうじょうしてきた|The coach entered accompanied by the team
~めく|めく|To indicate an atmosphere of a state. Only used with Nouns! がる is for adjectives
振り掛ける|りふりかける|To sprinkle over (eg salt, pepper, on food)
旋風|せんぷう|Whirlwind / Whirl / Vortex
ごまかす|ごまかす|Deceive / Evade
介入する|かいにゅうする|To intervene (government in the yen)
彼は大学入試をよそに、毎日パソコンに興じてる。|かれは だいがくにゅうしをよそに まいにちに きょうじてる|Despite having university entrance exams soon, he's wasting his time on the comp
原始人|げんしじん|primitive man
実行時|じっこうじ|execution-time, run time, object time
。。と言ったらない|と いったらない|.. is extraordinary / extremely
山羊|やぎ|Goat
彼の指はすばやく鍵盤の上を走った。|かれの ゆびはすばやく けんばんの うえを はしった|His fingers ran swiftly over the keys
この町は山と海が隣り合っています。|この まちは やまと うみが となり あっています|This town lies between the sea and the mountain.
大絶賛|だいぜっさん|rave reviews, extremely high praise
加齢|かれい|aging, ageing, adding to one's years
石油|せきゆ|Oil / Petroleum
ただいまシステムに照会しています|ただいまに しょうかいしています|We are connecting to the system now (as an application for more information)
品質|ひんしつ|(material) quality
申請|しんせい|Application / Petition
中央値|ちゅうおうち|Median
その時代は石器時代と呼ばれる。|その じだいは せっきじだいと よばれる|The period is referred to as the Stone Age
酷暑|こくしょ|intense heat, severe heat
彼女は華奢な体格だ。|かのじょは きゃしゃな たいかくだ|She is delicately constituted
国営|こくえい|Government managed
大砲|たいほう|Cannon / Gun / Artillery
昨日は風邪で少しだるかったんだ。|きのうは かぜで すこしだるかったんだ|Yesterday I felt run-down because I had a cold.
消沈|しょうちん|depression, low spirits, dejection
惚れ込む|れほれこむ|to Fall for [someone]
デコピン||finger flick to the forehead
一致|いっち|Accord / Agreement
累計|るいけい|Accumulated Total / Cumulative Total
甥は蝶著の採集が好きです|おいは ちょう ちょの さいしゅうが すきです|My nephew likes to collect butterflies
思う存分|うおもうぞんぶん|To ones heart content
審議|しんぎ|Deliberation / Consideration
合間|あいま|Interval / Break / Pause
台無し|だいなし|To spoil / To ruin / To destroy / To make a mess of
吝嗇|りんしょく|Stinginess / Selfishness / けち
彼は全校生徒の模範です。|かれは ぜんこう せいとの もはんです|He's a role model for all the students in our school.
体毛|たいもう|body hair
机|つくえ|Desk
多重人格|たじゅうじんかく|Multiple Personality
一言二言|ひとこと こと|A word or two
薄弱|はくじゃく|Feeble / Weak
講和|こうわ|Peace / Reconciliation
死後|しご|Afterlife / After ones death
就労時間|しゅうろう じかん|Working hours
知れ渡る|しれ わたる|to be well-known
散々|さんざん|Repeatedly / Badly / Severely (kanji doubler)
遺失物|いしつぶつ|Lost article
脛|はぎ|Shin
戦利品|せんりひん|1. spoils of war; booty; war trophy2. something one managed to obtain or buy (at
言い訳がましい|いい わけがましい|seeming like an excuse, seeming like a justification, defensive, in an apologeti
後片付け|あとかたづけ|Cleaning up
加速|かそく|Acceleration / Speed up
贅沢三昧|ぜいたくざんまい|Indulging in every possible luxury
今は無造作な髪型が流行っている|いまは むぞうさな かみがたが はやっている|Casual hairstyles are all the rage now
肉から脂身を取りなさい。|にくから あぶらみを とりなさい|Trim the fat off the meat
夫婦|ふうふ|Husband and Wife
